Time,prometheus_http_response_size_bytes_count
2024-08-08 15:32:30,1961
2024-08-08 15:32:45,1962
2024-08-08 15:33:00,1963
2024-08-08 15:33:15,1964
2024-08-08 15:33:30,1965
2024-08-08 15:33:45,1966
2024-08-08 15:34:00,1967
2024-08-08 15:34:15,1968
2024-08-08 15:34:30,1969
2024-08-08 15:34:45,1970
2024-08-08 15:35:00,1971
2024-08-08 15:35:15,1972
2024-08-08 15:35:30,1973
2024-08-08 15:35:45,1974
2024-08-08 15:36:00,1975
2024-08-08 15:36:15,1976
2024-08-08 15:36:30,1977
2024-08-08 15:36:45,1978
2024-08-08 15:37:00,1979
2024-08-08 15:37:15,1980
2024-08-08 15:37:30,1981
