Time,prometheus_http_response_size_bytes_count
2024-08-08 15:32:30,3
2024-08-08 15:32:45,3
2024-08-08 15:33:00,3
2024-08-08 15:33:15,3
2024-08-08 15:33:30,3
2024-08-08 15:33:45,3
2024-08-08 15:34:00,3
2024-08-08 15:34:15,3
2024-08-08 15:34:30,3
2024-08-08 15:34:45,3
2024-08-08 15:35:00,3
2024-08-08 15:35:15,3
2024-08-08 15:35:30,3
2024-08-08 15:35:45,3
2024-08-08 15:36:00,3
2024-08-08 15:36:15,3
2024-08-08 15:36:30,3
2024-08-08 15:36:45,3
2024-08-08 15:37:00,3
2024-08-08 15:37:15,3
2024-08-08 15:37:30,3
